artists,name,album
Kula Shaker,Hush,Kollected - The Best Of Kula Shaker
James,Sound - Full Version,Seven
James,Seven,Seven
Ocean Colour Scene,Better Day,Marchin' Already
Eagle-Eye Cherry,Save Tonight,Desireless
Spin Doctors,Two Princes,Pocket Full Of Kryptonite (Anniversary Edition)
The Alan Parsons Project,I Wouldn't Want to Be Like You,I Robot (Legacy Edition)
Men At Work,Down Under,The Best Of Men At Work: Contraband
ZZ Top,Sharp Dressed Man - 2008 Remaster,Eliminator
Daryl Hall & John Oates,Rich Girl,Bigger Than Both Of Us
Soft Cell,Tainted Love,Non-Stop Erotic Cabaret
Crowded House,Don't Dream It's Over,Crowded House
Nena,99 Luftballons,99 Luftballons
Fleetwood Mac,Everywhere - 2017 Remaster,Tango In the Night (Deluxe Edition)
Dire Straits,Brothers In Arms,Brothers In Arms
Peter Gabriel,Sledgehammer,So (Remastered)
